artist,album,release_year,charting_year,runtime,tracks
Alicia Keys,As I Am,2007,2008,1:08:08,17.00
Josh Groban,Noel,2007,2008,0:56:01,13.00
Lil Wayne,Tha Carter III,2008,2008,1:47:00,23.00
Eagles,Long Road Out Of Eden,2007,2008,1:35:00,21.00
Taylor Swift,Taylor Swift,2006,2008,0:53:29,15.00
Kid Rock,Rock N Roll Jesus,2007,2008,0:57:07,12.00
Coldplay,Viva la Vida or Death and All His Friends,2008,2008,0:45:49,10.00
Now Series (US),Now That's What I Call Music! Vol. 26,2007,2008,1:15:00,20.00
Carrie Underwood,Carnival Ride,2007,2008,0:50:07,13.00
Garth Brooks,The Ultimate Hits,2007,2008,2:03:25,34.00
Taylor Swift,Fearless,2008,2009,1:19:00,19.00
Beyoncé,I Am Sasha Fierce,2008,2009,1:18:00,20.00
Nickelback,Dark Horse,2008,2009,0:43:38,11.00
Soundtrack,Twilight: Original Motion Picture Soundtrack,2008,2009,1:06:00,17.00
Miley Cyrus,Hannah Montana: The Movie (Soundtrack),2009,2009,1:01:00,18.00
Britney Spears,Circus,2008,2009,0:53:02,15.00
Kanye West,808S & Heartbreak,2008,2009,0:52:05,12.00
Lady Gaga,The Fame,2008,2009,0:54:06,15.00
Eminem,Relapse,2009,2009,1:25:00,22.00
The Black Eyed Peas,The E.N.D.,2009,2009,1:43:00,25.00
Susan Boyle,I Dreamed A Dream,2009,2010,0:43:00,12.00
Eminem,Recovery,2010,2010,1:17:00,17.00
Lady A,Need You Now,2010,2010,0:44:10,11.00
Lady Gaga,The Fame,2008,2010,0:54:06,15.00
Justin Bieber,My World 2.0 / My Worlds,2010,2010,0:37:37,10.00
Andrea Bocelli,My Christmas,2009,2010,0:59:17,15.00
Taylor Swift,Fearless,2008,2010,1:19:00,19.00
Justin Bieber,My World,2009,2010,0:25:58,7.00
Taylor Swift,Speak Now,2010,2010,1:41:00,22.00
The Black Eyed Peas,The E.N.D.,2009,2010,1:43:00,25.00
Adele,21,2011,2011,0:48:01,11.00
Taylor Swift,Speak Now,2010,2011,1:41:00,22.00
Lady Gaga,Born This Way,2011,2011,1:39:00,22.00
Jason Aldean,My Kinda Party,2010,2011,0:56:44,15.00
Susan Boyle,The Gift,2010,2011,0:35:07,10.00
Lil Wayne,Tha Carter IV,2011,2011,1:00:00,15.00
Nicki Minaj,Pink Friday,2010,2011,1:09:00,18.00
Mumford & Sons,Sigh No More,2009,2011,1:44:00,25.00
Rihanna,Loud,2010,2011,0:54:09,12.00
Katy Perry,Teenage Dream,2010,2011,1:06:55,16.00
Adele,21,2011,2012,0:48:01,11.00
Michael Bublé,Christmas,2011,2012,1:08:00,21.00
Drake,Take Care,2011,2012,1:23:00,19.00
Taylor Swift,Red,2012,2012,1:30:00,22.00
One Direction,Up All Night,2011,2012,0:52:30,15.00
Luke Bryan,Tailgates & Tanlines,2011,2012,0:47:43,13.00
Mumford & Sons,Babel,2012,2012,1:03:00,15.00
Rihanna,Talk That Talk,2011,2012,0:49:06,14.00
Lionel Richie,Tuskegee,2012,2012,0:59:10,13.00
The Black Keys,El Camino,2011,2012,0:38:18,11.00
Justin Timberlake,The 20/20 Experience,2013,2013,1:19:00,12.00
