artist,song,charting_year,length
Flo Rida feat. T-Pain,Low,2008,0:03:51
Leona Lewis,Bleeding Love,2008,0:04:22
Alicia Keys,No One,2008,0:04:14
Lil Wayne feat. Static Major,Lollipop,2008,0:04:59
Timbaland feat. OneRepublic,Apologize,2008,0:03:04
Jordin Sparks Duet With Chris Brown,No Air,2008,0:04:24
Sara Bareilles,Love Song,2008,0:04:18
Usher feat. Young Jeezy,Love In This Club,2008,0:04:19
Chris Brown,With You,2008,0:04:12
Chris Brown,Forever,2008,0:04:38
The Black Eyed Peas,Boom Boom Pow,2009,0:04:11
Lady Gaga,Poker Face,2009,0:03:57
Lady Gaga feat. Colby O’Donis,Just Dance,2009,0:04:01
The Black Eyed Peas,I Gotta Feeling,2009,0:04:49
Taylor Swift,Love Story,2009,0:03:55
Flo Rida,Right Round,2009,0:03:24
Jason Mraz,I’m Yours,2009,0:04:02
Beyonce,Single Ladies (Put A Ring On It),2009,0:03:12
Kanye West,Heartless,2009,0:03:31
The All-American Rejects,Gives You Hell,2009,0:03:33
Ke$ha,TiK ToK,2010,0:03:19
Lady A,Need You Now,2010,0:03:56
Train,"Hey, Soul Sister",2010,0:03:36
Katy Perry feat. Snoop Dogg,California Gurls,2010,0:03:54
Usher feat. will.i.am,OMG,2010,0:04:29
B.o.B feat. Hayley Williams,Airplanes,2010,0:03:00
Eminem feat. Rihanna,Love The Way You Lie,2010,0:04:23
Lady Gaga,Bad Romance,2010,0:04:54
Taio Cruz,Dynamite,2010,0:03:23
Taio Cruz feat. Ludacris,Break Your Heart,2010,0:03:06
Adele,Rolling In The Deep,2011,0:03:48
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2011,0:04:22
Katy Perry,Firework,2011,0:03:47
Katy Perry feat. Kanye West,E.T.,2011,0:03:49
"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything,2011,0:04:12
Bruno Mars,Grenade,2011,0:03:42
Cee Lo Green,F**K You (Forget You),2011,0:03:42
Nicki Minaj,Super Bass,2011,0:03:20
Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2011,0:03:21
The Black Eyed Peas,Just Can’t Get Enough,2011,0:03:39
Gotye feat. Kimbra,Somebody That I Used To Know,2012,0:04:04
Carly Rae Jepsen,Call Me Maybe,2012,0:03:13
fun. feat. Janelle Monae,We Are Young,2012,0:04:10
Maroon 5 feat. Wiz Khalifa,Payphone,2012,0:03:51
Ellie Goulding,Lights,2012,0:03:30
The Wanted,Glad You Came,2012,0:03:17
Kelly Clarkson,Stronger (What Doesn’t Kill You),2012,0:03:41
Rihanna feat. Calvin Harris,We Found Love,2012,0:03:35
Nicki Minaj,Starships,2012,0:03:30
One Direction,What Makes You Beautiful,2012,0:03:19
Macklemore & Ryan Lewis feat. Wanz,Thrift Shop,2013,0:03:55
Robin Thicke feat. T.I & Pharrell,Blurred Lines,2013,0:04:23
Imagine Dragons,Radioactive,2013,0:03:06
